SYMBOL,EX,TIME,MID,CNT,
JPM,T,11:52:00 AM,43.40,567,
JPM,T,11:53:00 AM,43.42,308,
JPM,T,11:54:00 AM,43.41,355,
JPM,T,11:55:00 AM,43.42,163,
JPM,T,11:56:00 AM,43.42,140,
JPM,T,11:57:00 AM,43.42,266,
JPM,T,11:58:00 AM,43.42,316,
JPM,T,11:59:00 AM,43.47,889,
JPM,T,12:00:00 PM,43.50,725,
JPM,T,12:01:00 PM,43.52,923,
JPM,T,12:02:00 PM,43.57,1274,
JPM,T,12:03:00 PM,43.56,676,
JPM,T,12:04:00 PM,43.60,765,
JPM,T,12:05:00 PM,43.64,833,
JPM,T,12:06:00 PM,43.65,1023,
JPM,T,12:07:00 PM,43.67,645,
JPM,T,12:08:00 PM,43.68,639,
JPM,T,12:09:00 PM,43.71,782,
JPM,T,12:10:00 PM,43.68,1019,
JPM,T,12:11:00 PM,43.67,879,
JPM,T,12:12:00 PM,43.62,948,
JPM,T,12:13:00 PM,43.61,618,
JPM,T,12:14:00 PM,43.59,231,
JPM,T,12:15:00 PM,43.60,424,
JPM,T,12:16:00 PM,43.55,609,
JPM,T,12:17:00 PM,43.56,910,
JPM,T,12:18:00 PM,43.56,572,
JPM,T,12:19:00 PM,43.58,510,
JPM,T,12:20:00 PM,43.58,119,
JPM,T,12:21:00 PM,43.59,294,
JPM,T,12:22:00 PM,43.57,757,
JPM,T,12:23:00 PM,43.57,196,
JPM,T,12:24:00 PM,43.58,515,
JPM,T,12:25:00 PM,43.58,212,
JPM,T,12:26:00 PM,43.57,647,
JPM,T,12:27:00 PM,43.55,997,
JPM,T,12:28:00 PM,43.53,414,
JPM,T,12:29:00 PM,43.51,255,
JPM,T,12:30:00 PM,43.53,473,
JPM,T,12:31:00 PM,43.53,290,
JPM,T,12:32:00 PM,43.46,1042,
JPM,T,12:33:00 PM,43.46,820,
JPM,T,12:34:00 PM,43.46,657,
JPM,T,12:35:00 PM,43.46,527,
JPM,T,12:36:00 PM,43.50,612,
JPM,T,12:37:00 PM,43.50,246,
JPM,T,12:38:00 PM,43.48,509,
JPM,T,12:39:00 PM,43.54,766,
JPM,T,12:40:00 PM,43.57,426,
JPM,T,12:41:00 PM,43.57,731,
JPM,T,12:42:00 PM,43.55,323,
JPM,T,12:43:00 PM,43.55,329,
JPM,T,12:44:00 PM,43.56,201,
JPM,T,12:45:00 PM,43.54,364,
JPM,T,12:46:00 PM,43.59,495,
JPM,T,12:47:00 PM,43.60,878,
JPM,T,12:48:00 PM,43.55,2450,
JPM,T,12:49:00 PM,43.55,1276,
JPM,T,12:50:00 PM,43.58,575,
JPM,T,12:51:00 PM,43.57,230,
JPM,T,12:52:00 PM,43.58,570,
JPM,T,12:53:00 PM,43.58,695,
JPM,T,12:54:00 PM,43.56,660,
JPM,T,12:55:00 PM,43.55,1074,
JPM,T,12:56:00 PM,43.54,832,
JPM,T,12:57:00 PM,43.56,711,
JPM,T,12:58:00 PM,43.58,314,
JPM,T,12:59:00 PM,43.57,635,
JPM,T,1:00:00 PM,43.57,184,
JPM,T,1:01:00 PM,43.58,287,
JPM,T,1:02:00 PM,43.58,432,
JPM,T,1:03:00 PM,43.62,837,
JPM,T,1:04:00 PM,43.61,1395,
JPM,T,1:05:00 PM,43.61,572,
JPM,T,1:06:00 PM,43.57,576,
JPM,T,1:07:00 PM,43.57,786,
JPM,T,1:08:00 PM,43.53,569,
JPM,T,1:09:00 PM,43.55,764,
JPM,T,1:10:00 PM,43.54,500,
JPM,T,1:11:00 PM,43.52,400,
JPM,T,1:12:00 PM,43.52,417,
JPM,T,1:13:00 PM,43.49,367,
JPM,T,1:14:00 PM,43.50,247,
JPM,T,1:15:00 PM,43.54,758,
JPM,T,1:16:00 PM,43.55,233,
JPM,T,1:17:00 PM,43.57,425,
JPM,T,1:18:00 PM,43.56,269,
JPM,T,1:19:00 PM,43.53,660,
JPM,T,1:20:00 PM,43.49,440,
JPM,T,1:21:00 PM,43.48,509,
JPM,T,1:22:00 PM,43.46,631,
JPM,T,1:23:00 PM,43.41,1085,
JPM,T,1:24:00 PM,43.37,699,
JPM,T,1:25:00 PM,43.33,1287,
JPM,T,1:26:00 PM,43.32,857,
JPM,T,1:27:00 PM,43.32,503,
JPM,T,1:28:00 PM,43.33,407,
JPM,T,1:29:00 PM,43.35,690,
JPM,T,1:30:00 PM,43.34,639,
JPM,T,1:31:00 PM,43.33,373,
JPM,T,1:32:00 PM,43.31,607,
JPM,T,1:33:00 PM,43.30,651,
JPM,T,1:34:00 PM,43.30,529,
JPM,T,1:35:00 PM,43.28,379,
JPM,T,1:36:00 PM,43.29,314,
JPM,T,1:37:00 PM,43.30,534,
JPM,T,1:38:00 PM,43.31,267,
JPM,T,1:39:00 PM,43.36,1161,
JPM,T,1:40:00 PM,43.36,246,
JPM,T,1:41:00 PM,43.41,703,
JPM,T,1:42:00 PM,43.43,537,
JPM,T,1:43:00 PM,43.45,722,
JPM,T,1:44:00 PM,43.51,421,
JPM,T,1:45:00 PM,43.51,286,
JPM,T,1:46:00 PM,43.50,461,
JPM,T,1:47:00 PM,43.55,411,
JPM,T,1:48:00 PM,43.53,791,
JPM,T,1:49:00 PM,43.51,576,
JPM,T,1:50:00 PM,43.51,378,
JPM,T,1:51:00 PM,43.49,625,
JPM,T,1:52:00 PM,43.47,397,
JPM,T,1:53:00 PM,43.43,557,
JPM,T,1:54:00 PM,43.43,725,
JPM,T,1:55:00 PM,43.45,210,
JPM,T,1:56:00 PM,43.48,236,
JPM,T,1:57:00 PM,43.49,189,
